District	Name	Party	DC Office	DC Voice	District Voice	Electronic Correspondence	Web
WIJR	Ron Johnson	R	386 Russell Senate Office Building	202-224-5323	920-230-7250	http://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator	http://www.ronjohnson.senate.gov/public/
WI01	Paul Ryan	R	1233 Longworth House Office Building	202-225-3031	608-752-4050	https://paulryanforms.house.gov/Contact/Email.htm	http://paulryan.house.gov/
WI02	Tammy Baldwin	D	2446 Rayburn House Office Building	202-225-2906	608-362-2800	https://tammybaldwin.house.gov/contact/email-me.shtml	http://tammybaldwin.house.gov/
WI03	Ron Kind	D	1406 Longworth House Office Building	202-225-5506	608-782-2558	https://kindforms.house.gov/index.cfm?sectionid=146&sectiontree=18146	http://www.kind.house.gov/index.html
WI04	Gwen Moore	D	2245 Rayburn House Office Building	202-225-4572	414-297-1140	https://gwenmoore.house.gov/contact-form	http://gwenmoore.house.gov/
WI05	F. James (Jim) Sensenbrenner, Jr.	R	2449 Rayburn House Office Building	202-225-5101	262-784-1111	http://sensenbrenner.house.gov/email_zip.htm	http://sensenbrenner.house.gov/
WI06	Tom Petri	R	2462 Rayburn House Office Building	202-225-2476	920-231-6333	https://petri.house.gov/contact-me/email-me	http://petri.house.gov/
WI07	Sean Duffy	R	1208 Longworth House Office Building	202-225-3365	715-298-9344	https://duffy.house.gov/contact-me/email-me	http://duffy.house.gov/
WI08	Reid Ribble	R	1513 Longworth House Office Building	202-225-5665	920-380-0061	https://ribble.house.gov/contact-me/email-me	http://ribble.house.gov/
WVSR	Jay Rockefeller	D	531 Hart Senate Office Building	202-224-6472	304-367-0122	http://www.rockefeller.senate.gov/public/index.cfm/email-jay	http://www.rockefeller.senate.gov/public/
WVJR	Joe Manchin	D	303 Hart Senate Office Building	202-224-3954	304-342-5855	http://manchin.senate.gov/public/index.cfm/contact-form	http://manchin.senate.gov/public/index.cfm/
WV01	David McKinley	R	313 Cannon House Office Building	202-225-4172	304-232-3801	https://mckinleyforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://mckinley.house.gov/
WV02	Shelley Moore Capito	R	2443 Rayburn House Office Building	202-225-2711	304-925-5964	https://capitoforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://capito.house.gov/
WV03	Nick Rahall	D	2307 Rayburn House Office Building	202-225-3452	304-752-4934	https://rahall.house.gov/contact-me/email-me	http://rahall.house.gov/
WYSR	Mike Enzi	R	379A Russell Senate Office Building	202-224-3424	307-772-2477	http://www.enzi.senate.gov/public/index.cfm/e-mail-senator-enzi	http://www.enzi.senate.gov/public/
WYJR	John Barrasso	R	307 Dirksen Senate Office Building	202-224-6441	307-672-6456	http://barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm	http://barrasso.senate.gov/public/
WY00	Cynthia Lummis	R	113 Cannon House Office Building	202-225-2311	307-261-6595	http://lummis.house.gov/Contact/	http://lummis.house.gov/
